Территория,Год,median,q10,q90,q2_5,q97_5,Статус
Новосибирская область,2013,1.7317847836033815,1.6999588524520792,1.7628288736735245,1.683318163022317,1.7794695631032866,наблюдение
Новосибирская область,2014,1.7555952930617797,1.726382975710027,1.7892530079647488,1.7097422833599332,1.8058937003148428,наблюдение
Новосибирская область,2015,1.7843432563451014,1.7520864597190446,1.8149564963870761,1.735445766200818,1.8315971899053027,наблюдение
Новосибирская область,2016,1.753628653304382,1.7193045759954413,1.782174608250163,1.7026638836453474,1.798815300600257,наблюдение
Новосибирская область,2017,1.6488892483879019,1.6213170110097532,1.684187102844133,1.604676302889876,1.7008278109640103,наблюдение
Новосибирская область,2018,1.5673827723338345,1.5333680479468483,1.5962384751915855,1.5167272510492127,1.612879272089221,наблюдение
Новосибирская область,2019,1.5125776765566807,1.4823026446310124,1.5451742413847072,1.465661538183054,1.5618153478326655,наблюдение
Новосибирская область,2020,1.496592872677263,1.4656143151467984,1.5284865617408796,1.4489730366964795,1.5451278401911985,наблюдение
Новосибирская область,2021,1.500195911557225,1.4673567374563374,1.5302807015018391,1.4507017702235039,1.5469356687346727,наблюдение
Новосибирская область,2022,1.4940610837949087,1.4640175034928846,1.5269497524951354,1.4473603433644624,1.5436069126235576,наблюдение
Новосибирская область,2023,1.485811826825644,1.4527392539134782,1.5167003386174487,1.4358097774241902,1.5336298151067367,наблюдение
Новосибирская область,2024,1.4668257554714912,1.432894580654428,1.5017542557490808,1.4146685256090772,1.5199803107944316,наблюдение
Новосибирская область,2025,1.4540294188718408,1.374998997251036,1.5295408110778606,1.3340942499988258,1.5704455583300707,прогноз
Новосибирская область,2026,1.451413114447699,1.3050240091732563,1.5933597886605173,1.2287061383547357,1.669677659479038,прогноз
Новосибирская область,2027,1.4564059731146317,1.2560968448221494,1.6540348557280384,1.1507690157053456,1.7593626848448423,прогноз
Новосибирская область,2028,1.4635369084827614,1.2284366482191706,1.6984737237753866,1.104025349434105,1.8228850225604523,прогноз
