observation_id,project_code,project_name,indicator_code,indicator_name,source_table_id,source_file,source_variant_title,source_title,passport_title,territory_name,territory_type,territory_raw,territory_indent_spaces,year,period_type,period_code,period_label,month_start,month_end,period_start,period_end,unit,value,value_raw,last_update,row_number_excel,column_number_excel,region_code,is_subject_89,territory_canonical_status,region_name,federal_district,period_end_dt,period_start_dt,annualized_method,is_full_year,territory_scope_norm
15,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Орловская область,субъект РФ,        Орловская область,8,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,14.5,14.5,30.12.2025,16,5,57,True,mapped_to_89,Орловская область,Центральный федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
59,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Пензенская область,субъект РФ,        Пензенская область,8,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,23.0,23.0,30.12.2025,60,5,58,True,mapped_to_89,Пензенская область,Приволжский федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
55,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Пермский край,субъект РФ,        Пермский край,8,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,16.8,16.8,30.12.2025,56,5,59,True,mapped_to_89,Пермский край,Приволжский федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
83,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Приморский край,субъект РФ,Приморский край,0,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,18.7,18.7,30.12.2025,84,5,25,True,mapped_to_89,Приморский край,Дальневосточный федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
32,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Псковская область,субъект РФ,        Псковская область,8,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,24.5,24.5,30.12.2025,33,5,60,True,mapped_to_89,Псковская область,Северо-Западный федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
34,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Республика Адыгея (Адыгея),субъект РФ,        Республика Адыгея (Адыгея),8,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,12.9,12.9,30.12.2025,35,5,01,True,mapped_to_89,Республика Адыгея,Южный федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
69,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Республика Алтай,субъект РФ,Республика Алтай,0,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,25.9,25.9,30.12.2025,70,5,04,True,mapped_to_89,Республика Алтай,Сибирский федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
49,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Республика Башкортостан,субъект РФ,        Республика Башкортостан,8,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,14.4,14.4,30.12.2025,50,5,02,True,mapped_to_89,Республика Башкортостан,Приволжский федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
79,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Республика Бурятия,субъект РФ,Республика Бурятия,0,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,33.8,33.8,30.12.2025,80,5,03,True,mapped_to_89,Республика Бурятия,Дальневосточный федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
42,Я,Национальный проект «Семья»,2.14.Я.1,Уровень бедности среди многодетных семей,data_20,data (20).xls,Уровень бедности среди многодетных семей,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",Уровень бедности среди многодетных семей,Республика Дагестан,субъект РФ,        Республика Дагестан,8,2024,год,2024,значение показателя за год,,,2024-01-01,2024-12-31,процент,51.4,51.4,30.12.2025,43,5,05,True,mapped_to_89,Республика Дагестан,Северо-Кавказский федеральный округ,2024-12-31,2024-01-01,explicit_year,True,субъект РФ
