region_code,region_name,indicator_key,source_file,indicator_code,z_score,spatial_lag_z,local_moran_I,p_value,cluster_type
49,Магаданская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.6047785155359258,0.6945753558175553,-0.4200642526191785,0.24,NS
50,Московская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.18462816192462023,-0.7258635132780727,0.13401484626467774,0.46,NS
51,Мурманская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.28966575032744707,0.501358063570381,-0.14522625966683034,0.4,NS
52,Нижегородская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.3052268745352732,-0.5055763487110341,0.15431548875602433,0.36,NS
53,Новгородская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.6942549797309256,-0.7049532526238063,0.48941730611159073,0.28,NS
54,Новосибирская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,0.18494853801125002,-0.6252024910586975,-0.11563028668229772,0.5,NS
55,Омская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,0.15771657064755384,0.18235501730994566,0.02876040797049995,0.82,NS
56,Оренбургская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,0.02544701488103258,-0.06500201957695736,-0.0016541073594720053,0.98,NS
57,Орловская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.9899163396796221,-0.7736167131908391,0.7658158250368555,0.08,NS
58,Пензенская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.9821357775757091,-0.9976969017835353,0.9798738224180483,0.02,LL
59,Пермский край,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,0.2705347211542937,0.11492347907603224,0.031090791365915693,0.78,NS
60,Псковская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.4219353060939692,-1.0194824756744918,0.43015565043115417,0.16,NS
61,Ростовская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.42971586819788227,-0.3530675240431145,0.1517187176266636,0.38,NS
62,Рязанская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.9587940912639699,-0.8396542340478014,0.8050555183098064,0.04,LL
63,Самарская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.28966575032744707,-0.358718238999675,0.10390838785598133,0.6,NS
64,Саратовская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-1.1727595491215788,-0.7422351127050564,0.8704633161181861,0.04,LL
65,Сахалинская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,1.1458479578445124,0.42420082270657616,0.4860696464142924,0.28,NS
66,Свердловская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,0.38335287166103277,0.44670887736432485,0.17124713093409005,0.5,NS
67,Смоленская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-1.421737536446797,-0.5137459389201429,0.7304118855598706,0.08,NS
68,Тамбовская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.8848787512767962,-0.9121107186404915,0.8071073937367793,0.02,LL
69,Тверская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.5308631755487513,-0.5652273248410342,0.300058372572037,0.22,NS
70,Томская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.9198912807444045,0.23422543133603263,-0.21546193201461364,0.44,NS
71,Тульская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.9082204375885354,-0.6748035744711433,0.6128703976924896,0.12,NS
72,Тюменская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,1.2820077946629915,0.18806076285281495,0.24109536384757713,0.34,NS
73,Ульяновская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.5542048618604904,-0.6300653423736432,0.34918527603326754,0.24,NS
74,Челябинская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,0.021556733829075615,0.16938741380342368,0.003651439393355893,0.94,NS
75,Забайкальский край,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,0.45726821164820736,0.36681917719021784,0.16773474915203782,0.42,NS
76,Ярославская область,data (21).xls | 2.14.Я.2,data (21).xls,2.14.Я.2,-0.6008882344839689,-0.39535171890559895,0.23756219637338769,0.26,NS
