region_code,region_name,tile_label,federal_district,tile_x,tile_y,has_tile_polygon,territory_name,indicator_code,indicator_name,source_file,source_title,year,period_type,period_label,period_end,unit,value,last_update,data_mode,has_value,missing_reason
42,Кемеровская область - Кузбасс,КЕМ,Сибирский федеральный округ,21,5,True,Кемеровская область - Кузбасс,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,14.3,30.12.2025,complete_year,True,
43,Кировская область,КИР,Приволжский федеральный округ,11,5,True,Кировская область,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,18.7,30.12.2025,complete_year,True,
44,Костромская область,КОС,Центральный федеральный округ,6,3,True,Костромская область,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,21.4,30.12.2025,complete_year,True,
45,Курганская область,КУРГ,Уральский федеральный округ,15,6,True,Курганская область,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,14.8,30.12.2025,complete_year,True,
46,Курская область,КУР,Центральный федеральный округ,5,5,True,Курская область,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,10.5,30.12.2025,complete_year,True,
47,Ленинградская область,ЛЕН,Северо-Западный федеральный округ,2,1,True,Ленинградская область,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,10.7,30.12.2025,complete_year,True,
48,Липецкая область,ЛИП,Центральный федеральный округ,6,5,True,Липецкая область,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,14.8,30.12.2025,complete_year,True,
49,Магаданская область,МАГ,Дальневосточный федеральный округ,25,2,True,Магаданская область,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,15.6,30.12.2025,complete_year,True,
50,Московская область,МОСО,Центральный федеральный округ,8,3,True,Московская область,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,18.9,30.12.2025,complete_year,True,
51,Мурманская область,МУР,Северо-Западный федеральный округ,0,0,True,Мурманская область,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,12.0,30.12.2025,complete_year,True,
52,Нижегородская область,НИЖ,Приволжский федеральный округ,10,5,True,Нижегородская область,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,9.8,30.12.2025,complete_year,True,
53,Новгородская область,НВГ,Северо-Западный федеральный округ,3,1,True,Новгородская область,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,18.6,30.12.2025,complete_year,True,
54,Новосибирская область,НСО,Сибирский федеральный округ,19,5,True,Новосибирская область,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,21.6,30.12.2025,complete_year,True,
55,Омская область,ОМС,Сибирский федеральный округ,18,5,True,Омская область,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,23.1,30.12.2025,complete_year,True,
56,Оренбургская область,ОРЕ,Приволжский федеральный округ,12,7,True,Оренбургская область,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,14.1,30.12.2025,complete_year,True,
57,Орловская область,ОРЛ,Центральный федеральный округ,9,4,True,Орловская область,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,14.5,30.12.2025,complete_year,True,
58,Пензенская область,ПЕН,Приволжский федеральный округ,13,6,True,Пензенская область,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,23.0,30.12.2025,complete_year,True,
59,Пермский край,ПЕР,Приволжский федеральный округ,12,5,True,Пермский край,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,16.8,30.12.2025,complete_year,True,
60,Псковская область,ПСК,Северо-Западный федеральный округ,0,2,True,Псковская область,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,24.5,30.12.2025,complete_year,True,
61,Ростовская область,РОС,Южный федеральный округ,3,8,True,Ростовская область,2.14.Я.1,Уровень бедности среди многодетных семей,data (20).xls,"Уровень бедности среди многодетных семей (процент, значение показателя за год)",2024.0,год,значение показателя за год,2024-12-31,процент,17.5,30.12.2025,complete_year,True,
